STATION,NAME,DATE,AWND,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT04,WT05,WT08,WT09
USW00025333,"SITKA AIRPORT, AK US",2021/1/20,2.91,517,0.02,37,38,36,100,80,8.1,10.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/21,3.58,1602,0.01,37.5,41,34,10,10,14.1,19,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/22,2.91,1151,0.01,37,40,34,310,80,8.9,11,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/23,4.7,1534,0.29,36.5,38,35,100,110,15,18.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/24,3.58,1000,0.01,34.5,39,30,320,320,8.9,10.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/25,2.01,537,0,32.5,37,28,330,330,8.1,8.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/26,3.36,1307,0,30,36,24,340,330,15,19.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/27,4.7,1500,0,26.5,30,23,80,80,13,16.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/28,8.5,2353,0,29,36,22,110,100,23,29.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/29,16.78,100,0,36.5,40,33,110,100,25.1,31.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/30,8.05,17,0,37.5,42,33,120,120,19.9,23.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/31,3.36,1121,0,36,43,29,320,330,12.1,13,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/1,7.83,1030,0.17,34.5,38,31,110,130,17,21.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/2,5.82,234,0,33.5,38,29,100,110,18.1,25.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/3,6.93,1432,0.44,36.5,40,33,100,100,14.1,19,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/4,6.93,1601,0,36.5,39,34,330,330,21.9,25.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/5,4.03,1331,0.17,35.5,37,34,110,110,8.9,12.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/6,5.82,1407,0,33,37,29,330,330,21.9,25.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/7,6.93,2206,0,31.5,36,27,110,100,18.1,23,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/8,12.3,938,0.01,23,30,16,100,100,23,36.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/9,10.74,1551,0,15,17,13,110,120,21,25.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/10,4.03,2359,0,21,30,12,80,70,13,16.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/11,9.62,58,0,30.5,37,24,100,90,25.1,36.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/12,10.07,624,0,34,39,29,90,100,23.9,33.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/13,5.82,2156,0,32,38,26,100,100,14.1,18.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/14,5.82,1536,0,33.5,37,30,110,110,16.1,19.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/15,4.03,1734,0,30.5,35,26,320,310,13,15,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/16,4.92,1935,0.17,33.5,38,29,90,80,8.9,11,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/17,10.51,2347,0,38.5,43,34,100,100,21.9,29.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/18,20.8,517,0.33,40.5,43,38,110,110,31.1,49,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/19,18.57,810,0.6,36.5,42,31,250,230,35.1,44.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/20,14.76,1109,1.44,37.5,44,31,110,100,25.1,32,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/21,15.21,410,0.43,40.5,44,37,260,230,29.1,38.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/22,10.29,1849,0.82,37.5,42,33,260,250,25.1,31.1,,,,,1,
USW00025333,"SITKA AIRPORT, AK US",2021/2/23,6.71,250,0.07,35,38,32,290,290,21.9,31.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/24,15.88,1524,0.04,36.5,39,34,110,120,30,44.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/25,14.32,1318,0.42,38.5,42,35,290,300,32,40,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/26,7.38,121,0.03,40,43,37,310,290,25.1,29.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/27,11.18,2058,1.45,40,44,36,100,100,17,23,1,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/2/28,16.78,1244,0.93,39.5,45,34,210,220,29.1,40,1,,1,,1,
USW00025333,"SITKA AIRPORT, AK US",2021/3/1,13.65,1113,0.47,37.5,41,34,220,220,28,34,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/2,8.95,618,0.63,37,41,33,240,240,21.9,28,,,,1,1,
USW00025333,"SITKA AIRPORT, AK US",2021/3/3,7.38,1129,0.2,36.5,41,32,110,110,21,25.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/4,5.82,2014,0.07,38,43,33,110,110,17,21.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/5,12.3,1133,0.35,39.5,43,36,130,130,25.9,32,1,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/6,8.72,1802,0.01,39,43,35,110,100,17,23,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/7,3.8,207,0,42.5,47,38,330,100,12.1,15,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/8,4.47,349,0.28,35,40,30,330,330,15,16.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/9,6.26,1612,0,34.5,41,28,320,320,18.1,21,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/10,9.62,2325,0.15,38,40,36,180,190,23,32,1,,,,1,
USW00025333,"SITKA AIRPORT, AK US",2021/3/11,9.62,246,0.08,36.5,41,32,250,250,23.9,30,1,,,,1,1
USW00025333,"SITKA AIRPORT, AK US",2021/3/12,6.49,752,0.1,33,37,29,330,170,15,21,1,,,,1,
USW00025333,"SITKA AIRPORT, AK US",2021/3/13,12.08,745,0,31,35,27,330,330,21.9,25.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/14,8.05,2355,0,28.5,34,23,100,100,23,28,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/15,16.11,521,1.77,36,40,32,100,110,29.1,36.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/16,9.17,2050,0.21,37.5,42,33,110,100,23.9,32,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/17,19.01,1110,0.07,39,43,35,160,150,42.9,69.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/18,6.71,2331,0,35.5,40,31,110,110,14.1,17,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/19,8.5,1328,0.24,33.5,37,30,230,280,25.9,35.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/20,13.2,1813,0,34,39,29,100,100,23.9,31.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/21,8.05,49,0.53,39,43,35,110,120,21.9,29.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/22,7.38,18,0.22,39,42,36,250,180,18.1,27.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/23,9.4,431,0.92,39.5,42,37,100,110,23.9,30,1,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/24,10.96,756,0.2,38,40,36,290,300,23.9,28,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/25,6.04,2129,0.21,38,41,35,220,230,15,18.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/26,5.59,123,0.52,38.5,42,35,220,220,13,14.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/27,6.93,1907,0.56,35.5,39,32,290,300,30,35.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/28,10.07,1023,0.01,36,41,31,320,330,21,25.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/29,6.93,2234,0.47,36.5,41,32,250,260,14.1,17,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/30,12.3,1703,0.83,39,41,37,190,210,23.9,32,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/3/31,10.07,44,1.18,37,41,33,180,160,23.9,34,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/1,8.28,2152,0.28,33.5,36,31,120,110,18.1,25.1,,,,,,1
USW00025333,"SITKA AIRPORT, AK US",2021/4/2,7.16,247,0.13,35.5,38,33,110,100,23,29.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/3,4.25,1538,0.1,36.5,41,32,300,230,10.1,12.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/4,8.5,2344,0.19,38,41,35,230,200,16.1,19,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/5,8.05,58,0.71,37,40,34,230,210,17,23.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/6,5.59,356,0.17,35,38,32,250,260,15,21,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/7,7.61,1711,0,35.5,41,30,320,220,19.9,25.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/8,16.11,2205,0.59,35,39,31,230,230,33.1,38,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/9,8.05,136,0.26,35.5,39,32,230,240,21.9,25.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/10,5.82,1050,0.08,33,36,30,300,300,19.9,23,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/11,5.37,2313,0,36,41,31,120,120,13,15,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/12,11.41,2237,0.12,39,41,37,110,110,18.1,23,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/13,14.76,421,0.31,42,45,39,110,100,23.9,30,1,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/14,6.71,435,0.06,42.5,45,40,110,100,14.1,18.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/15,1.12,1259,0,43.5,48,39,230,220,6.9,8.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/16,2.01,1823,0,43,50,36,330,330,6.9,8.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/17,0.89,2030,0,46.5,56,37,220,100,6.9,8.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/18,6.93,1043,0,54,67,41,80,110,15,19.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/19,3.58,1134,0,53.5,61,46,230,230,14.1,17,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/20,9.4,1509,0,46.5,51,42,280,280,19.9,21.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/21,6.71,1512,0,49,57,41,330,330,19.9,23,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/22,3.8,1413,0,44.5,52,37,230,230,10.1,12.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/23,,,0,18.5,,37,,,,,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/24,4.92,1053,0,52.5,63,42,130,120,13,18.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/25,2.91,2207,0,50.5,60,41,90,100,8.1,10.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/26,2.01,1736,0,46,53,39,230,230,8.9,11,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/27,9.17,1045,0.23,47.5,50,45,110,110,21,25.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/28,5.82,1321,0.17,47.5,51,44,310,330,12.1,14.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/29,7.61,1624,0.94,46,48,44,220,200,18.1,21.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/4/30,6.71,514,0.79,45,47,43,110,120,15,19,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/1,6.04,46,0.06,42.5,48,37,300,300,15,16.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/2,7.38,1509,0,44,50,38,140,140,19.9,25.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/3,7.61,1533,0.38,46.5,49,44,190,190,18.1,25.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/4,4.92,11,0.37,45,48,42,130,110,13,17,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/5,6.71,2127,0,48,55,41,130,100,16.1,23.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/6,8.5,543,0.03,54.5,63,46,110,100,21,28,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/7,3.36,1329,0,50.5,56,45,230,260,13,15,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/8,5.82,1149,0.07,48,50,46,210,210,15,19,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/9,4.92,35,0.12,46,49,43,300,300,16.1,18.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/10,8.05,1856,0,47,52,42,110,100,18.1,23.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/11,5.59,118,0.03,47,49,45,200,200,19.9,25.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/12,4.25,1646,0.14,46,49,43,270,230,8.9,13,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/13,7.61,1523,0.33,45,47,43,190,200,16.1,21,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/14,9.84,1112,0.78,47,49,45,110,200,17,21.9,1,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/15,9.4,425,0.32,45,48,42,220,180,16.1,19.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/16,6.49,1528,0.02,44,49,39,330,330,12.1,16.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/17,7.38,1344,0,44,52,36,290,330,18.1,21.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/18,10.74,1855,0,47,56,38,310,300,21.9,25.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/19,9.62,1725,0,51.5,57,46,300,310,18.1,21,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/20,5.59,2046,0,46.5,52,41,210,200,14.1,16.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/21,10.07,637,0.38,50,53,47,120,110,23,31.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/22,7.61,935,0.63,47,49,45,170,170,17,25.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/23,6.04,2140,0.07,48.5,53,44,310,320,13,13,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/24,6.04,1159,0.01,47,50,44,310,310,14.1,15,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/25,5.82,1414,0.05,47,51,43,200,190,14.1,17,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/26,6.04,1738,0,48,51,45,330,340,15,17,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/27,8.05,2355,0,47.5,51,44,320,240,14.1,19.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/28,9.17,1254,0.32,47,49,45,190,190,19.9,28,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/29,12.3,2153,0.03,52,57,47,130,130,21,25.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/30,7.16,158,0.17,54,58,50,100,100,16.1,19.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/5/31,11.41,2042,0.79,54.5,58,51,110,200,23,31.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/1,3.58,8,0.02,53,56,50,210,210,15,19,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/2,11.18,2150,0.22,51,53,49,190,180,21,25.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/3,6.93,110,0.5,49,51,47,190,190,17,23,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/4,5.37,829,0.05,51.5,56,47,100,100,21.9,27.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/5,5.82,1956,0.01,52.5,58,47,320,300,14.1,15,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/6,3.36,1006,0,51,54,48,230,270,8.1,8.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/7,3.8,1555,0,53,58,48,210,210,8.9,11,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/8,3.58,1506,0,52.5,59,46,230,220,8.9,12.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/9,6.49,1035,0,51,53,49,220,220,14.1,17,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/10,2.91,1916,0,52.5,55,50,320,340,12.1,14.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/11,4.47,1718,0,54.5,59,50,310,290,16.1,19.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/12,3.58,305,0,54,61,47,320,330,8.9,11,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/13,6.93,1607,0,58,67,49,300,310,19.9,21,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/14,3.8,1405,0,58.5,64,53,230,230,13,15,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/15,9.62,1922,0.05,56,58,54,190,210,16.1,21,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/16,4.25,11,0,56,60,52,190,190,13,18.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/17,6.26,1152,0,59.5,66,53,230,230,14.1,16.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/18,6.93,1148,0.08,55,58,52,190,190,21.9,27.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/19,5.59,2120,0,58.5,68,49,330,200,12.1,13,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/20,9.84,1931,0.72,55.5,59,52,200,200,25.1,33.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/21,7.16,544,0.08,52.5,55,50,230,230,15,17,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/22,2.01,1144,0.02,52.5,56,49,230,240,6.9,8.1,1,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/23,5.82,2332,0.95,57.5,63,52,170,160,21.9,29.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/24,12.53,600,1.51,59,63,55,190,190,28,38,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/25,6.26,1253,0.06,57,59,55,220,220,23,29.1,1,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/26,4.7,2226,0,58.5,63,54,330,330,8.9,11,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/27,4.25,1848,0,66,78,54,330,330,17,19,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/28,9.17,1547,0,66,75,57,320,320,23,25.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/6/29,13.65,1345,0,57.5,61,54,300,300,21.9,23,1,,,,1,
USW00025333,"SITKA AIRPORT, AK US",2021/6/30,11.63,1229,0,57.5,62,53,300,290,17,19,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/1,9.84,1426,0.01,57,61,53,300,300,17,19,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/2,8.28,837,0,56,60,52,310,310,14.1,15,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/3,9.62,1917,0,60,66,54,330,330,21,23,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/4,12.53,1519,0,57.5,60,55,310,310,19.9,21.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/5,11.63,1700,0,60,65,55,300,310,19.9,23,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/6,8.72,229,0,56.5,59,54,330,330,15,17,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/7,4.03,1416,0,55.5,58,53,230,230,12.1,13,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/8,3.58,1051,0.07,55.5,58,53,210,260,8.9,12.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/9,4.7,118,0.1,55,57,53,190,190,14.1,19,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/10,3.8,920,0,55.5,60,51,290,280,10.1,12.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/11,8.05,1505,0.01,55.5,60,51,200,200,19.9,28,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/12,9.4,423,0.29,57,60,54,110,110,19.9,25.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/13,4.7,1650,0.13,54.5,57,52,230,230,12.1,13,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/14,2.68,242,0.21,54.5,58,51,230,90,6.9,10.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/15,3.58,755,0.1,55,60,50,330,340,10.1,11,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/16,2.68,1504,0.03,57.5,61,54,220,230,8.1,8.9,1,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/17,2.24,1429,0.05,59.5,63,56,300,240,6.9,10.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/18,1.57,1405,0.04,60,63,57,220,220,6.9,8.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/19,7.61,1650,0,62.5,70,55,310,320,21,21.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/20,9.17,426,0,60,64,56,330,330,16.1,19,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/21,5.37,1521,0.01,56.5,59,54,230,230,13,15,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/22,9.17,2223,0.03,59,63,55,110,100,18.1,25.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/23,7.38,1405,0.31,58.5,61,56,110,210,17,23,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/24,5.59,949,0.17,56,58,54,180,180,18.1,25.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/25,2.91,1134,0.08,55.5,59,52,220,220,6.9,11,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/26,3.8,1111,0,56.5,64,49,220,230,12.1,13,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/27,2.91,34,0.03,59.5,62,57,200,200,8.9,11,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/28,5.82,1824,0,61,70,52,310,310,17,19,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/29,2.91,1132,0,61,70,52,220,220,8.9,10.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/30,3.58,1158,0,66.5,73,60,230,230,14.1,18.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/7/31,4.47,1623,0,57,66,48,230,230,12.1,13,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/8/1,3.58,156,0.01,62.5,66,59,220,220,8.9,11,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/8/2,6.04,1306,0.05,58.5,62,55,210,210,16.1,19,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/8/3,4.92,1551,0.15,61,67,55,110,100,16.1,19,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/8/4,6.04,2042,0.4,62.5,65,60,200,190,18.1,23.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/8/5,5.14,1039,0,62,69,55,220,110,15,19,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/8/6,4.25,1134,0.04,59,63,55,200,210,15,19,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/8/7,6.71,1600,0.12,61.5,65,58,290,290,16.1,18.1,1,,,,1,
USW00025333,"SITKA AIRPORT, AK US",2021/8/8,8.05,2007,0.76,60,63,57,200,110,18.1,31.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/8/9,8.72,945,0.42,57,60,54,250,260,21,28,,,,,,
